ticker,date,pct_gain,entry_price,outcome,exit_time,exit_price,return_pct,source,is_real,position_size
MB,2026-08-07,,8.92,TIME,18:15,7.94,9.986547085201789,live,True,1348
SCKT,2026-08-10,615.3846153846154,2.130000114440918,TIME,18:00,1.66,21.065731886793046,live,False,
WXM,2026-08-11,220.00000476837158,7.900000095367432,TIME,18:00,5.9801,23.30253255937633,live,False,
BOXL,2026-08-12,168.60067256821802,7.869999885559082,TIME,18:00,6.33,18.567978500036293,live,False,
DFSC,2026-08-13,86.29031653334775,2.309999942779541,TIME,18:00,2.54,-10.95671268042146,live,False,
HAO,2026-08-14,2341.7177656120516,3.9800000190734863,MANUAL,16:20,3.8718,1.718593431029042,live,False,
DAIC,2026-08-24,306.10329177145286,1.7300000190734863,SL,17:18,2.0760000228881834,-20.99999999999999,live,False,
DAIC,2026-08-25,124.27746078979116,3.880000114440918,SL,16:58,4.656000137329102,-21.0,live,False,
CRE,2026-08-26,164.98054940362422,6.809999942779541,TIME,18:00,6.34,5.90161448940788,live,False,
CELU,2026-08-27,138.63635409223141,2.0999999046325684,TIME,18:00,1.8991,8.566662559811844,live,False,
INDP,2026-09-08,51.639342660450325,1.850000023841858,TIME,18:00,1.75,4.405406624492354,live,False,
SUNE,2026-09-09,90.2953774961018,4.510000228881836,TIME,18:00,3.862,13.368075299244376,live,False,
TNON,2026-09-10,117.21311747723445,5.300000190734863,TIME,18:00,5.2333,0.2584941195184227,live,False,
MKDW,2026-09-11,51.96078715531568,7.75,TIME,17:59,6.95,9.322580645161288,live,False,
